Bug,Severity,Description,Status
BUG-001,CRITICAL,MCP Tools Disappear Mid-Session,FIXED
BUG-002,HIGH,Claude Code Loses MCP Server Connection,CLOSED (obsolete)
BUG-003,HIGH,Duplicate Team Project entries in dashboard,FIXED
BUG-004,CRITICAL,User isolation failure in dashboard,FIXED
BUG-005,HIGH,GraphAdapter 403 on node creation,FIXED
BUG-006,MEDIUM,ginko epic list returns No epics found,FIXED
BUG-007,HIGH,ginko graph load creates duplicate nodes,FIXED
BUG-008,MEDIUM,Epics default to Status: Not Started,FIXED
BUG-009,HIGH,ginko sprint create TypeError crash,FIXED
BUG-010,HIGH,Task/sprint status changes don't persist,FIXED
BUG-011,HIGH,ginko log fails to sync to graph,FIXED
BUG-012,HIGH,ginko handoff breaks in non-TTY,FIXED
BUG-013,MEDIUM,Insights page shows No Insights Available,CLOSED
BUG-014,MEDIUM,Dashboard doesn't persist last-accessed project,UNTESTED
BUG-015,MEDIUM,Task assignee is freeform text not dropdown,UNTESTED
BUG-016,MEDIUM,Tasks not auto-assigned when work begins,FIXED
BUG-017,LOW,No team status view on dashboard,UNTESTED
BUG-018,CRITICAL,Bidirectional sync broken (one-way only),FIXED (Phase 1)
BUG-019,MEDIUM,ginko graph load reports No new content,SUPERSEDED
BUG-020,HIGH,ginko team status shows No team members,FIXED
BUG-021,HIGH,Identity mismatch: local config vs API auth,FIXED
BUG-022,MEDIUM,No client-side validation for empty task IDs,FIXED
BUG-023,HIGH,Staleness false positive after sync,FIXED
BUG-024,HIGH,ginko sprint create --yes crashes,FIXED
BUG-025,HIGH,ginko epic creates duplicate entities and loses tasks,FIXED
